val_mr_3s,val_mr,val_min_fde_3s,val_min_fde,val_min_ade_3s,val_min_ade,val_loss,eval_dataset,train_dataset
0.006732,0.006732,0.253581,0.253581,0.094362,0.094362,-4.040699,interact,interact
0.164782,0.164782,1.155236,1.155236,0.48555,0.48555,4.67341,interact,lyft
0.16966,0.16966,1.141392,1.141392,0.517739,0.517739,4.723676,interact,nuscenes
0.255923,0.255923,1.892784,1.892784,0.713615,0.713615,11.33775,interact,opendd
0.208834,0.208834,1.313452,1.313452,0.480267,0.480267,13.375401,interact,round
0.131527,0.131527,0.852412,0.852412,0.284291,0.284291,5.603047,interact,sind
0.202006,0.202006,1.347235,1.347235,0.534112,0.534112,13.800364,interact,unid
0.564781,0.564781,5.988315,5.988315,2.910349,2.910349,35.073494,interact,univ
0.303655,0.303655,2.205072,2.205072,0.928798,0.928798,13.348299,interact,us101
0.327761,0.327761,2.249119,2.249119,0.972617,0.972617,13.148666,interact,vod
0.109372,0.109372,0.753807,0.753807,0.285236,0.285236,4.719843,interact,waymo
0.62577,0.62577,6.245599,6.245599,3.080671,3.080671,36.504559,interact,zara1
0.639309,0.639309,6.94333,6.94333,3.357257,3.357257,42.033276,interact,zara2
0.641549,0.698127,5.728281,9.462784,2.929757,4.345245,116.361748,lyft,a43
0.256592,0.31039,1.785458,2.554844,1.001597,1.36093,33.716911,lyft,ad4che
0.272258,0.409114,1.871838,3.920106,1.032879,1.775319,27.54056,lyft,apollo
0.400471,0.372945,2.529212,2.420402,1.05374,1.439794,20.251743,lyft,argoverse
0.096742,0.155395,0.908251,1.268624,0.640949,0.781101,13.09761,lyft,av2
0.317858,0.336044,6.933351,10.320263,3.708779,5.411008,83.039734,lyft,eth
0.333474,0.412145,2.338317,3.700368,1.224998,1.797046,56.741032,lyft,exid
0.227203,0.273095,1.62342,2.342262,0.935759,1.261282,27.772335,lyft,highd
0.313267,0.333373,5.870981,8.662452,3.144434,4.557239,51.32156,lyft,hotel
0.179338,0.241589,1.502194,2.329619,0.859946,1.190934,21.697287,lyft,i80
0.210624,0.267359,1.50861,2.180859,0.896809,1.187021,27.632452,lyft,ind
0.388507,0.493111,2.568284,4.094687,1.294539,2.021632,33.071003,lyft,interact
0.02925,0.046199,0.420462,0.50942,0.283317,0.339863,3.540437,lyft,lyft
0.098345,0.148686,0.954386,1.357159,0.615707,0.78618,9.743367,lyft,nuscenes
0.23628,0.275392,2.346292,4.311256,1.138215,1.903566,22.34371,lyft,opendd
0.270781,0.309796,2.276828,3.959939,1.155444,1.83113,29.996872,lyft,round
0.194652,0.246809,1.440841,2.187387,0.837844,1.150485,14.667697,lyft,sind
0.231889,0.271556,2.224095,3.306165,1.259852,1.740496,36.237354,lyft,unid
0.310328,0.331061,5.849246,8.736767,3.125321,4.600333,58.548771,lyft,univ
0.153894,0.210379,1.313504,2.019299,0.770112,1.056216,28.287407,lyft,us101
0.240753,0.541615,2.089481,5.202628,1.083407,2.184975,31.114595,lyft,vod
0.130439,0.169047,0.918558,1.27585,0.599081,0.75107,9.886502,lyft,waymo
0.312249,0.33529,5.694139,8.377119,3.077196,4.449733,59.773857,lyft,zara1
0.330325,0.364152,6.490935,9.728295,3.408473,5.045865,66.207558,lyft,zara2
0.651476,0.766599,4.18871,12.445288,1.891833,4.619048,65.447449,nuscenes,a43
0.129493,0.209505,0.882236,1.913512,0.432992,0.862308,17.061769,nuscenes,ad4che
0.133206,0.425896,1.14379,3.215004,0.559579,1.570439,17.943115,nuscenes,apollo
0.155163,0.211574,1.026401,2.019432,0.451984,0.935854,14.140181,nuscenes,argoverse
0.0758,0.142059,0.572839,1.169909,0.294796,0.550518,21.961226,nuscenes,av2
0.194072,0.319798,2.802874,5.385601,1.450596,2.647012,30.376659,nuscenes,eth
0.135616,0.279278,1.087791,2.640676,0.514511,1.094855,28.26404,nuscenes,exid
0.131591,0.213225,0.953439,2.074233,0.474387,0.944523,16.079693,nuscenes,highd
0.190044,0.313757,2.295849,4.575878,1.172668,2.164543,22.916748,nuscenes,hotel
0.118323,0.216121,0.937659,2.138047,0.447843,0.922621,15.119096,nuscenes,i80
